task,layer,tau,metric,mean,sem,n
push,5,-7,pr,2.5719008286794027,0.09703961592151429,30
push,5,-6,pr,2.595313874880473,0.10676190392163731,30
push,5,-5,pr,2.594484305381775,0.10413674449438294,30
push,5,-4,pr,2.610448181629181,0.108252406242835,30
push,5,-3,pr,2.601990457375844,0.09517928086694359,30
push,5,-2,pr,2.5782129605611166,0.08852613089112533,30
push,5,-1,pr,2.628044545650482,0.08152377836074992,30
push,5,0,pr,2.5626309275627137,0.08022677329537292,30
push,5,1,pr,2.58761465549469,0.09967407047369929,30
push,5,2,pr,2.6101454973220823,0.10747512993275016,30
push,5,3,pr,2.5345878839492797,0.0935671190344085,30
push,5,4,pr,2.595141116778056,0.09815220211379673,30
push,5,5,pr,2.6437366445859274,0.09794577361031276,30
push,5,6,pr,2.634078594048818,0.09497044805798237,30
push,5,7,pr,2.7002405206362408,0.08305497603496632,30
push,5,8,pr,2.682929102579753,0.10534876293809033,30
push,6,-8,speed,1.3201822857062022,0.06847008869431853,30
push,6,-7,speed,1.3408431390921274,0.06972940642206674,30
push,6,-6,speed,1.3558334132035574,0.05959528031283664,30
push,6,-5,speed,1.385120447476705,0.07978088744070276,30
push,6,-4,speed,1.380746191740036,0.0615519856576627,30
push,6,-3,speed,1.4014716962973277,0.066339355732198,30
push,6,-2,speed,1.371586940685908,0.05886641587965121,30
push,6,-1,speed,1.4509617368380228,0.07226385856758628,30
push,6,0,speed,1.3999678949515024,0.05455331425955894,30
push,6,1,speed,1.3709088365236919,0.054257750303259356,30
push,6,2,speed,1.3513080914815268,0.05582916190718535,30
push,6,3,speed,1.3200223724047342,0.05171589563335446,30
push,6,4,speed,1.4934429824352264,0.08102893212514611,30
push,6,5,speed,1.4993976434071858,0.08526881641279546,30
push,6,6,speed,1.4938250641028086,0.06855934388927876,30
push,6,7,speed,1.5966686924298605,0.07833777847989555,30
push,6,8,speed,1.5230778853098552,0.07495907432305297,30
push,6,-8,curvature,2.438429536592037,0.037163877230622235,30
push,6,-7,curvature,2.475174734337817,0.03543666679997696,30
push,6,-6,curvature,2.4614550740961003,0.04238679015536932,30
push,6,-5,curvature,2.4700438238455553,0.03558926251911549,30
push,6,-4,curvature,2.3927893445861472,0.045494369440944905,30
push,6,-3,curvature,2.431190110263411,0.03547344545167143,30
push,6,-2,curvature,2.4184806909407657,0.034676186822591284,30
push,6,-1,curvature,2.3709470011118516,0.03848748794533136,30
push,6,0,curvature,2.3853056747585453,0.03568117080058166,30
push,6,1,curvature,2.316510531035259,0.04011532756861779,30
push,6,2,curvature,2.2637204109798628,0.04831824990609515,30
push,6,3,curvature,2.1975121406219724,0.04620935868082583,30
push,6,4,curvature,2.3204846998139343,0.04025829431862288,30
push,6,5,curvature,2.356040870720256,0.033899275294360647,30
push,6,6,curvature,2.3332569264667318,0.05141101232678496,30
push,6,7,curvature,2.4029210176349993,0.03750438539251472,30
push,6,8,curvature,2.3648279592712,0.03809072179638655,30
push,6,-8,tortuosity,6.660289000799591,0.3345213634473128,30
push,6,-7,tortuosity,6.4439608808261095,0.3269641501649959,30
push,6,-6,tortuosity,6.423014534878214,0.38155263594603506,30
push,6,-5,tortuosity,6.008180739298774,0.2812360355043427,30
push,6,-4,tortuosity,5.881561694693255,0.3157965274842979,30
push,6,-3,tortuosity,5.503319174759576,0.1862613796567028,30
push,6,-2,tortuosity,5.429091122198107,0.26628295282615005,30
push,6,-1,tortuosity,5.2350941876561565,0.19589267473808084,30
push,6,0,tortuosity,4.854472890112873,0.22587292716073182,30
push,6,1,tortuosity,4.494859377632858,0.1882239114235881,30
push,6,2,tortuosity,4.501744414670004,0.20069894035649555,30
push,6,3,tortuosity,4.366509915497545,0.1766357067579737,30
push,6,4,tortuosity,4.296118557517386,0.1588559628231506,30
push,6,5,tortuosity,4.506401293398511,0.1436262869710358,30
push,6,6,tortuosity,4.599578779490911,0.21389986332095468,30
push,6,7,tortuosity,4.735022701292913,0.17970336010581892,30
push,6,8,tortuosity,4.906621557804766,0.24040539612983286,30
push,6,-8,pr,3.0698611100514728,0.10483095285990622,30
push,6,-7,pr,3.0891932288805646,0.09822356377501561,30
push,6,-6,pr,3.097758154074351,0.10496137091040648,30
