task,layer,slot,n_pcs_90,n_pcs_95
peg_insert,22,3,45,64
peg_insert,22,4,46,64
peg_insert,22,5,44,64
peg_insert,22,6,40,64
peg_insert,22,7,27,63
peg_insert,23,0,33,64
peg_insert,23,1,40,64
peg_insert,23,2,35,64
peg_insert,23,3,39,64
peg_insert,23,4,42,64
peg_insert,23,5,41,64
peg_insert,23,6,36,64
peg_insert,23,7,26,60
nut_thread,0,0,19,32
nut_thread,0,1,19,32
nut_thread,0,2,18,31
nut_thread,0,3,18,31
nut_thread,0,4,18,31
nut_thread,0,5,18,31
nut_thread,0,6,18,30
nut_thread,0,7,18,30
nut_thread,1,0,23,42
nut_thread,1,1,22,40
nut_thread,1,2,22,39
nut_thread,1,3,21,38
nut_thread,1,4,21,38
nut_thread,1,5,21,38
nut_thread,1,6,21,38
nut_thread,1,7,21,38
nut_thread,2,0,12,29
nut_thread,2,1,11,26
nut_thread,2,2,11,25
nut_thread,2,3,11,25
nut_thread,2,4,11,25
nut_thread,2,5,11,25
nut_thread,2,6,11,25
nut_thread,2,7,12,26
nut_thread,3,0,15,35
nut_thread,3,1,12,27
nut_thread,3,2,13,29
nut_thread,3,3,13,31
nut_thread,3,4,16,36
nut_thread,3,5,17,38
nut_thread,3,6,15,35
nut_thread,3,7,18,41
nut_thread,4,0,29,64
nut_thread,4,1,25,60
nut_thread,4,2,29,64
nut_thread,4,3,30,64
nut_thread,4,4,37,64
nut_thread,4,5,39,64
nut_thread,4,6,38,64
nut_thread,4,7,41,64
nut_thread,5,0,37,64
nut_thread,5,1,31,64
nut_thread,5,2,37,64
nut_thread,5,3,37,64
nut_thread,5,4,40,64
nut_thread,5,5,42,64
nut_thread,5,6,44,64
nut_thread,5,7,43,64
nut_thread,6,0,43,64
nut_thread,6,1,39,64
nut_thread,6,2,46,64
nut_thread,6,3,46,64
nut_thread,6,4,52,64
nut_thread,6,5,54,64
nut_thread,6,6,54,64
nut_thread,6,7,53,64
nut_thread,7,0,60,64
nut_thread,7,1,56,64
nut_thread,7,2,60,64
nut_thread,7,3,64,64
nut_thread,7,4,64,64
nut_thread,7,5,64,64
nut_thread,7,6,64,64
nut_thread,7,7,64,64
nut_thread,8,0,64,64
nut_thread,8,1,64,64
nut_thread,8,2,64,64
nut_thread,8,3,64,64
nut_thread,8,4,64,64
nut_thread,8,5,64,64
nut_thread,8,6,64,64
nut_thread,8,7,64,64
nut_thread,9,0,64,64
nut_thread,9,1,64,64
nut_thread,9,2,64,64
nut_thread,9,3,64,64
nut_thread,9,4,64,64
nut_thread,9,5,64,64
nut_thread,9,6,64,64
nut_thread,9,7,64,64
nut_thread,10,0,64,64
nut_thread,10,1,64,64
nut_thread,10,2,64,64
nut_thread,10,3,64,64
nut_thread,10,4,64,64
nut_thread,10,5,64,64
nut_thread,10,6,64,64
nut_thread,10,7,64,64
nut_thread,11,0,64,64
nut_thread,11,1,64,64
nut_thread,11,2,64,64
nut_thread,11,3,64,64
nut_thread,11,4,64,64
nut_thread,11,5,64,64
nut_thread,11,6,64,64
nut_thread,11,7,64,64
nut_thread,12,0,64,64
nut_thread,12,1,64,64
nut_thread,12,2,64,64
nut_thread,12,3,64,64
nut_thread,12,4,64,64
nut_thread,12,5,64,64
nut_thread,12,6,64,64
nut_thread,12,7,64,64
nut_thread,13,0,64,64
nut_thread,13,1,64,64
nut_thread,13,2,64,64
nut_thread,13,3,64,64
nut_thread,13,4,64,64
nut_thread,13,5,64,64
nut_thread,13,6,64,64
nut_thread,13,7,64,64
nut_thread,14,0,64,64
nut_thread,14,1,64,64
nut_thread,14,2,64,64
nut_thread,14,3,64,64
nut_thread,14,4,64,64
nut_thread,14,5,64,64
nut_thread,14,6,64,64
nut_thread,14,7,64,64
nut_thread,15,0,64,64
nut_thread,15,1,64,64
nut_thread,15,2,64,64
nut_thread,15,3,64,64
nut_thread,15,4,64,64
nut_thread,15,5,64,64
nut_thread,15,6,64,64
nut_thread,15,7,64,64
nut_thread,16,0,64,64
nut_thread,16,1,64,64
nut_thread,16,2,63,64
nut_thread,16,3,64,64
nut_thread,16,4,64,64
nut_thread,16,5,64,64
nut_thread,16,6,64,64
nut_thread,16,7,64,64
nut_thread,17,0,64,64
nut_thread,17,1,64,64
nut_thread,17,2,59,64
nut_thread,17,3,64,64
nut_thread,17,4,64,64
nut_thread,17,5,64,64
nut_thread,17,6,64,64
nut_thread,17,7,62,64
nut_thread,18,0,64,64
nut_thread,18,1,64,64
nut_thread,18,2,55,64
nut_thread,18,3,64,64
